Monat,punternet
2004-01,100
2004-02,87
2004-03,92
2004-04,87
2004-05,86
2004-06,82
2004-07,91
2004-08,86
2004-09,81
2004-10,82
2004-11,79
2004-12,76
2005-01,80
2005-02,74
2005-03,73
2005-04,76
2005-05,77
2005-06,78
2005-07,75
2005-08,67
2005-09,66
2005-10,64
2005-11,64
2005-12,64
2006-01,63
2006-02,56
2006-03,59
2006-04,58
2006-05,61
2006-06,59
2006-07,64
2006-08,62
2006-09,59
2006-10,55
2006-11,58
2006-12,58
2007-01,56
2007-02,54
2007-03,52
2007-04,51
2007-05,52
2007-06,51
2007-07,49
2007-08,44
2007-09,44
2007-10,41
2007-11,48
2007-12,45
2008-01,45
2008-02,43
2008-03,42
2008-04,41
2008-05,40
2008-06,41
2008-07,42
2008-08,41
2008-09,39
2008-10,36
2008-11,38
2008-12,37
2009-01,37
2009-02,33
2009-03,32
2009-04,30
2009-05,31
2009-06,31
2009-07,32
2009-08,30
2009-09,32
2009-10,43
2009-11,25
2009-12,23
2010-01,24
2010-02,22
2010-03,21
2010-04,21
2010-05,20
2010-06,21
2010-07,23
2010-08,23
2010-09,21
2010-10,21
2010-11,20
2010-12,19
2011-01,18
2011-02,17
2011-03,16
2011-04,16
2011-05,17
2011-06,15
2011-07,16
2011-08,15
2011-09,15
2011-10,14
2011-11,14
2011-12,14
2012-01,13
2012-02,13
2012-03,12
2012-04,12
2012-05,12
2012-06,12
2012-07,13
2012-08,13
2012-09,12
2012-10,11
2012-11,11
2012-12,11
2013-01,11
2013-02,11
2013-03,10
2013-04,11
2013-05,10
2013-06,10
2013-07,10
2013-08,10
2013-09,9
2013-10,7
2013-11,7
2013-12,7
2014-01,7
2014-02,6
2014-03,6
2014-04,6
2014-05,6
2014-06,6
2014-07,6
2014-08,7
2014-09,6
2014-10,6
2014-11,5
2014-12,5
2015-01,5
2015-02,5
2015-03,5
2015-04,5
2015-05,5
2015-06,4
2015-07,5
2015-08,4
2015-09,4
2015-10,4
2015-11,4
2015-12,4
2016-01,4
2016-02,3
2016-03,3
2016-04,3
2016-05,3
2016-06,3
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,3
